Iteration	Avg_Reward	Packet_Loss_Ratio	Avg_Loss
116000	1.3250	0.5628	1.075984
117000	1.3259	0.5625	1.076008
118000	1.3267	0.5623	1.076136
119000	1.3275	0.5620	1.076322
120000	1.3283	0.5618	1.076478
121000	1.3288	0.5616	1.076670
122000	1.3296	0.5612	1.076783
123000	1.3299	0.5610	1.076838
124000	1.3307	0.5606	1.076942
125000	1.3314	0.5604	1.077059
126000	1.3323	0.5601	1.077143
127000	1.3327	0.5598	1.077225
128000	1.3334	0.5596	1.077210
129000	1.3339	0.5594	1.077162
130000	1.3345	0.5592	1.077117
131000	1.3355	0.5589	1.077065
132000	1.3359	0.5585	1.077061
133000	1.3366	0.5583	1.077105
134000	1.3374	0.5579	1.077109
135000	1.3379	0.5578	1.077130
136000	1.3388	0.5575	1.077163
137000	1.3394	0.5572	1.077170
138000	1.3397	0.5571	1.077223
139000	1.3404	0.5568	1.077212
140000	1.3407	0.5567	1.077247
141000	1.3412	0.5565	1.077440
142000	1.3414	0.5565	1.077766
143000	1.3420	0.5562	1.078048
144000	1.3426	0.5560	1.078239
145000	1.3429	0.5559	1.078398
146000	1.3434	0.5556	1.078555
147000	1.3439	0.5554	1.078716
148000	1.3446	0.5551	1.078876
149000	1.3450	0.5549	1.079091
150000	1.3455	0.5548	1.079291
151000	1.3458	0.5546	1.079567
152000	1.3463	0.5544	1.079820
153000	1.3469	0.5542	1.080111
