Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3
58000	1.7274	0.4434	0.4185	0.4403	0.4252	0.8545	0.8765	0.8572	0.8715	0.410551	0.379286	0.406648	0.383709
59000	1.7279	0.4435	0.4185	0.4403	0.4255	0.8545	0.8765	0.8575	0.8713	0.411361	0.380002	0.407357	0.383994
60000	1.7283	0.4437	0.4187	0.4401	0.4257	0.8543	0.8763	0.8578	0.8713	0.412096	0.380627	0.408000	0.384229
61000	1.7293	0.4444	0.4184	0.4402	0.4263	0.8540	0.8766	0.8578	0.8710	0.413582	0.382393	0.409228	0.385233
62000	1.7295	0.4442	0.4189	0.4399	0.4265	0.8541	0.8764	0.8579	0.8711	0.414638	0.383668	0.410068	0.385638
63000	1.7288	0.4443	0.4187	0.4395	0.4263	0.8540	0.8767	0.8582	0.8714	0.415508	0.384770	0.410738	0.385868
64000	1.7284	0.4446	0.4185	0.4393	0.4261	0.8539	0.8769	0.8584	0.8716	0.416315	0.385797	0.411377	0.386062
65000	1.7296	0.4454	0.4188	0.4391	0.4262	0.8536	0.8768	0.8585	0.8715	0.417091	0.386739	0.412010	0.386249
66000	1.7306	0.4457	0.4195	0.4388	0.4266	0.8536	0.8766	0.8588	0.8715	0.417765	0.387600	0.412538	0.386340
67000	1.7312	0.4463	0.4197	0.4385	0.4268	0.8534	0.8768	0.8590	0.8715	0.418423	0.388439	0.413054	0.386408
68000	1.7320	0.4462	0.4200	0.4388	0.4269	0.8534	0.8767	0.8589	0.8715	0.419015	0.389194	0.413516	0.386455
69000	1.7321	0.4461	0.4198	0.4392	0.4269	0.8533	0.8769	0.8589	0.8717	0.419554	0.389924	0.413954	0.386472
70000	1.7323	0.4464	0.4197	0.4389	0.4272	0.8532	0.8769	0.8592	0.8717	0.420147	0.390605	0.414405	0.386507
71000	1.7322	0.4468	0.4192	0.4385	0.4277	0.8530	0.8773	0.8594	0.8714	0.421400	0.392141	0.415676	0.387636
72000	1.7327	0.4470	0.4197	0.4381	0.4280	0.8530	0.8771	0.8597	0.8712	0.422172	0.393192	0.416525	0.388276
73000	1.7323	0.4470	0.4195	0.4378	0.4280	0.8530	0.8773	0.8599	0.8712	0.422853	0.394125	0.417251	0.388816
74000	1.7324	0.4471	0.4196	0.4377	0.4280	0.8530	0.8773	0.8601	0.8712	0.423420	0.394956	0.417901	0.389268
75000	1.7324	0.4473	0.4195	0.4378	0.4279	0.8529	0.8775	0.8601	0.8712	0.423903	0.395693	0.418439	0.389645
