Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Avg_Reward_User_5	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_Ratio_User_5	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Avg_Loss_User_5
45000	1.7075	0.2960	0.2783	0.2659	0.2914	0.2826	0.2934	0.9030	0.9124	0.9160	0.9044	0.9077	0.9039	0.412537	0.359995	0.378175	0.355723	0.356192	0.389581
46000	1.7114	0.2965	0.2789	0.2669	0.2916	0.2834	0.2941	0.9027	0.9121	0.9156	0.9043	0.9074	0.9037	0.412672	0.358322	0.378282	0.354164	0.354715	0.390050
47000	1.7122	0.2965	0.2792	0.2680	0.2914	0.2836	0.2936	0.9027	0.9119	0.9151	0.9043	0.9073	0.9041	0.412756	0.356726	0.378317	0.352667	0.353253	0.390443
48000	1.7142	0.2965	0.2795	0.2687	0.2916	0.2840	0.2939	0.9026	0.9117	0.9149	0.9042	0.9072	0.9040	0.412819	0.355199	0.378366	0.351237	0.351850	0.390830
49000	1.7164	0.2963	0.2798	0.2693	0.2926	0.2841	0.2943	0.9027	0.9115	0.9145	0.9039	0.9071	0.9038	0.412812	0.353764	0.378347	0.349892	0.350535	0.391187
50000	1.7188	0.2963	0.2804	0.2701	0.2930	0.2844	0.2946	0.9027	0.9111	0.9142	0.9037	0.9069	0.9037	0.412898	0.352365	0.378325	0.348592	0.349263	0.391590
51000	1.7181	0.2968	0.2804	0.2687	0.2932	0.2842	0.2948	0.9025	0.9110	0.9146	0.9035	0.9069	0.9036	0.413307	0.353307	0.380935	0.350302	0.351023	0.392784
52000	1.7201	0.2975	0.2807	0.2698	0.2936	0.2841	0.2944	0.9022	0.9108	0.9141	0.9034	0.9069	0.9040	0.413201	0.353302	0.382007	0.349292	0.350196	0.393338
53000	1.7229	0.2978	0.2811	0.2704	0.2944	0.2843	0.2948	0.9021	0.9106	0.9139	0.9031	0.9068	0.9038	0.413004	0.353217	0.382958	0.348251	0.349308	0.393859
54000	1.7244	0.2976	0.2818	0.2711	0.2945	0.2846	0.2947	0.9021	0.9103	0.9136	0.9030	0.9067	0.9039	0.412791	0.353120	0.383778	0.347266	0.348470	0.394318
55000	1.7261	0.2978	0.2819	0.2718	0.2944	0.2850	0.2951	0.9021	0.9102	0.9132	0.9031	0.9066	0.9038	0.412576	0.352984	0.384607	0.346245	0.347596	0.394779
56000	1.7267	0.2975	0.2821	0.2727	0.2944	0.2852	0.2947	0.9022	0.9101	0.9129	0.9031	0.9065	0.9040	0.412273	0.352806	0.385308	0.345288	0.346787	0.395125
57000	1.7275	0.2979	0.2828	0.2726	0.2946	0.2855	0.2940	0.9021	0.9098	0.9130	0.9030	0.9064	0.9046	0.412058	0.352685	0.386058	0.344389	0.345978	0.395552
58000	1.7283	0.2979	0.2828	0.2734	0.2942	0.2857	0.2942	0.9021	0.9097	0.9127	0.9031	0.9062	0.9047	0.411922	0.352607	0.386834	0.343587	0.345273	0.396037
59000	1.7281	0.2982	0.2829	0.2733	0.2944	0.2859	0.2933	0.9020	0.9096	0.9129	0.9030	0.9062	0.9054	0.411706	0.352490	0.387511	0.342697	0.344436	0.396397
60000	1.7287	0.2982	0.2836	0.2736	0.2944	0.2859	0.2930	0.9019	0.9092	0.9129	0.9030	0.9061	0.9055	0.411451	0.352339	0.388100	0.341850	0.343623	0.396712
61000	1.7286	0.2985	0.2834	0.2731	0.2944	0.2862	0.2930	0.9019	0.9092	0.9135	0.9030	0.9060	0.9057	0.411852	0.353119	0.391610	0.343145	0.344903	0.397850
62000	1.7278	0.2986	0.2839	0.2716	0.2947	0.2865	0.2925	0.9020	0.9090	0.9143	0.9028	0.9058	0.9063	0.411831	0.353448	0.392584	0.342440	0.344906	0.398516
63000	1.7269	0.2986	0.2843	0.2711	0.2947	0.2868	0.2913	0.9021	0.9088	0.9151	0.9028	0.9057	0.9074	0.411866	0.353796	0.393235	0.341844	0.344911	0.399169
64000	1.7262	0.2988	0.2846	0.2702	0.2950	0.2871	0.2906	0.9021	0.9086	0.9160	0.9027	0.9056	0.9081	0.412028	0.354268	0.393979	0.341402	0.345039	0.399938
65000	1.7257	0.2989	0.2846	0.2699	0.2948	0.2870	0.2904	0.9020	0.9085	0.9166	0.9028	0.9056	0.9084	0.412221	0.354786	0.394698	0.341057	0.345245	0.400748
66000	1.7251	0.2990	0.2847	0.2695	0.2950	0.2868	0.2901	0.9021	0.9085	0.9173	0.9027	0.9056	0.9087	0.412377	0.355233	0.395308	0.340741	0.345435	0.401470
67000	1.7250	0.2988	0.2850	0.2692	0.2953	0.2871	0.2896	0.9022	0.9084	0.9177	0.9026	0.9055	0.9091	0.412560	0.355702	0.395938	0.340477	0.345669	0.402208
68000	1.7260	0.2991	0.2854	0.2691	0.2954	0.2873	0.2896	0.9021	0.9082	0.9182	0.9025	0.9054	0.9092	0.412668	0.356125	0.396495	0.340213	0.345864	0.402870
69000	1.7260	0.2990	0.2857	0.2685	0.2954	0.2876	0.2899	0.9023	0.9081	0.9189	0.9027	0.9053	0.9092	0.412898	0.356632	0.397138	0.340029	0.346115	0.403613
70000	1.7261	0.2985	0.2862	0.2683	0.2956	0.2879	0.2897	0.9026	0.9079	0.9194	0.9026	0.9052	0.9093	0.413152	0.357168	0.397813	0.339943	0.346400	0.404356
71000	1.7260	0.2983	0.2868	0.2672	0.2954	0.2881	0.2901	0.9028	0.9077	0.9201	0.9027	0.9052	0.9091	0.414476	0.358302	0.399286	0.341516	0.347577	0.405843
72000	1.7265	0.2982	0.2873	0.2672	0.2955	0.2880	0.2903	0.9029	0.9075	0.9204	0.9026	0.9052	0.9090	0.415184	0.358887	0.399027	0.341678	0.347670	0.406663
73000	1.7259	0.2980	0.2874	0.2669	0.2952	0.2882	0.2902	0.9030	0.9075	0.9209	0.9029	0.9052	0.9089	0.415716	0.359322	0.398527	0.341706	0.347605	0.407301
74000	1.7265	0.2980	0.2875	0.2675	0.2947	0.2884	0.2903	0.9031	0.9074	0.9207	0.9032	0.9050	0.9089	0.416099	0.359613	0.397890	0.341590	0.347412	0.407786
75000	1.7276	0.2979	0.2876	0.2680	0.2949	0.2887	0.2905	0.9032	0.9073	0.9204	0.9031	0.9049	0.9088	0.416526	0.359989	0.397333	0.341510	0.347290	0.408364
76000	1.7284	0.2981	0.2878	0.2682	0.2948	0.2889	0.2907	0.9031	0.9072	0.9203	0.9031	0.9049	0.9087	0.416870	0.360306	0.396752	0.341364	0.347136	0.408894
77000	1.7297	0.2981	0.2880	0.2686	0.2947	0.2888	0.2915	0.9032	0.9071	0.9200	0.9033	0.9049	0.9083	0.417110	0.360550	0.396138	0.341157	0.346946	0.409302
78000	1.7306	0.2979	0.2881	0.2692	0.2948	0.2889	0.2917	0.9033	0.9071	0.9197	0.9032	0.9048	0.9082	0.417343	0.360822	0.395538	0.340923	0.346686	0.409670
79000	1.7323	0.2977	0.2887	0.2696	0.2950	0.2892	0.2921	0.9034	0.9069	0.9194	0.9031	0.9047	0.9080	0.417495	0.361014	0.394901	0.340643	0.346414	0.409976
80000	1.7339	0.2981	0.2888	0.2695	0.2951	0.2897	0.2928	0.9033	0.9068	0.9194	0.9031	0.9046	0.9077	0.417618	0.361207	0.394262	0.340347	0.346125	0.410298
81000	1.7310	0.2981	0.2891	0.2662	0.2950	0.2897	0.2929	0.9033	0.9067	0.9203	0.9031	0.9045	0.9076	0.418661	0.361716	0.395858	0.341345	0.347110	0.411124
82000	1.7294	0.2978	0.2890	0.2642	0.2953	0.2901	0.2929	0.9035	0.9067	0.9209	0.9030	0.9044	0.9075	0.418913	0.361717	0.395979	0.341304	0.347228	0.411697
83000	1.7293	0.2973	0.2895	0.2638	0.2955	0.2902	0.2931	0.9039	0.9065	0.9210	0.9029	0.9044	0.9074	0.419152	0.361767	0.395215	0.341323	0.347380	0.412271
84000	1.7295	0.2968	0.2895	0.2639	0.2958	0.2903	0.2931	0.9044	0.9065	0.9208	0.9027	0.9043	0.9073	0.419393	0.361857	0.394373	0.341381	0.347553	0.412849
85000	1.7301	0.2962	0.2898	0.2643	0.2961	0.2904	0.2934	0.9050	0.9064	0.9206	0.9026	0.9044	0.9072	0.419574	0.361872	0.393426	0.341375	0.347666	0.413359
86000	1.7312	0.2962	0.2900	0.2648	0.2963	0.2905	0.2935	0.9051	0.9063	0.9204	0.9026	0.9043	0.9071	0.419820	0.361948	0.392550	0.341446	0.347840	0.413911
87000	1.7314	0.2957	0.2901	0.2651	0.2965	0.2905	0.2934	0.9055	0.9062	0.9201	0.9025	0.9043	0.9071	0.420082	0.362042	0.391709	0.341536	0.348021	0.414475
88000	1.7322	0.2953	0.2904	0.2657	0.2964	0.2909	0.2937	0.9058	0.9061	0.9199	0.9025	0.9042	0.9069	0.420302	0.362086	0.390892	0.341615	0.348193	0.415002
89000	1.7325	0.2950	0.2904	0.2659	0.2965	0.2909	0.2938	0.9062	0.9061	0.9197	0.9025	0.9041	0.9069	0.420512	0.362123	0.390086	0.341659	0.348293	0.415522
90000	1.7331	0.2948	0.2902	0.2666	0.2965	0.2911	0.2938	0.9065	0.9061	0.9194	0.9025	0.9041	0.9068	0.420739	0.362154	0.389300	0.341689	0.348422	0.416044
91000	1.7335	0.2945	0.2903	0.2666	0.2968	0.2912	0.2942	0.9067	0.9060	0.9193	0.9024	0.9040	0.9066	0.421116	0.362745	0.389667	0.342692	0.349412	0.416582
92000	1.7341	0.2944	0.2904	0.2670	0.2968	0.2915	0.2941	0.9069	0.9060	0.9191	0.9023	0.9040	0.9066	0.421075	0.362912	0.389642	0.342670	0.349125	0.416784
93000	1.7345	0.2943	0.2906	0.2675	0.2968	0.2915	0.2938	0.9069	0.9058	0.9188	0.9023	0.9039	0.9066	0.421021	0.363022	0.389650	0.342587	0.348776	0.416954
94000	1.7352	0.2942	0.2904	0.2681	0.2968	0.2917	0.2940	0.9071	0.9059	0.9186	0.9023	0.9038	0.9066	0.420958	0.363120	0.389648	0.342490	0.348431	0.417122
95000	1.7357	0.2939	0.2906	0.2686	0.2967	0.2918	0.2941	0.9074	0.9058	0.9183	0.9024	0.9038	0.9065	0.420800	0.363145	0.389557	0.342322	0.348020	0.417185
96000	1.7365	0.2935	0.2907	0.2690	0.2968	0.2920	0.2945	0.9077	0.9057	0.9181	0.9023	0.9037	0.9063	0.420679	0.363163	0.389467	0.342154	0.347609	0.417268
97000	1.7367	0.2931	0.2908	0.2694	0.2970	0.2920	0.2944	0.9080	0.9057	0.9179	0.9023	0.9037	0.9063	0.420549	0.363180	0.389374	0.342004	0.347194	0.417368
98000	1.7371	0.2932	0.2908	0.2696	0.2969	0.2921	0.2944	0.9081	0.9056	0.9178	0.9023	0.9037	0.9062	0.420442	0.363237	0.389301	0.341878	0.346810	0.417461
99000	1.7371	0.2929	0.2909	0.2699	0.2968	0.2921	0.2945	0.9084	0.9056	0.9176	0.9024	0.9037	0.9062	0.420313	0.363250	0.389200	0.341721	0.346410	0.417543
100000	1.7370	0.2925	0.2909	0.2701	0.2969	0.2921	0.2945	0.9086	0.9055	0.9175	0.9024	0.9038	0.9062	0.420218	0.363296	0.389138	0.341607	0.346063	0.417630
101000	1.7372	0.2922	0.2910	0.2704	0.2969	0.2923	0.2944	0.9091	0.9055	0.9173	0.9024	0.9037	0.9062	0.420540	0.363663	0.389392	0.342462	0.346764	0.418177
102000	1.7372	0.2917	0.2912	0.2705	0.2973	0.2919	0.2947	0.9095	0.9054	0.9172	0.9022	0.9041	0.9061	0.420682	0.363739	0.389255	0.342597	0.346559	0.418484
103000	1.7369	0.2912	0.2912	0.2708	0.2971	0.2918	0.2948	0.9100	0.9054	0.9170	0.9024	0.9041	0.9060	0.420809	0.363783	0.389029	0.342725	0.346300	0.418711
104000	1.7376	0.2910	0.2915	0.2711	0.2971	0.2921	0.2949	0.9103	0.9053	0.9168	0.9026	0.9040	0.9059	0.420978	0.363853	0.388837	0.342903	0.346104	0.418984
105000	1.7377	0.2904	0.2918	0.2714	0.2971	0.2921	0.2949	0.9108	0.9051	0.9167	0.9029	0.9040	0.9058	0.421173	0.363946	0.388658	0.343120	0.345930	0.419284
106000	1.7372	0.2901	0.2919	0.2716	0.2966	0.2923	0.2947	0.9112	0.9051	0.9166	0.9034	0.9039	0.9059	0.421396	0.364066	0.388516	0.343368	0.345799	0.419610
107000	1.7374	0.2899	0.2922	0.2718	0.2964	0.2923	0.2948	0.9114	0.9049	0.9164	0.9037	0.9039	0.9058	0.421553	0.364147	0.388337	0.343558	0.345642	0.419873
108000	1.7374	0.2895	0.2922	0.2720	0.2964	0.2924	0.2949	0.9118	0.9050	0.9163	0.9037	0.9039	0.9058	0.421772	0.364267	0.388212	0.343803	0.345554	0.420202
109000	1.7370	0.2891	0.2922	0.2722	0.2963	0.2924	0.2947	0.9122	0.9049	0.9162	0.9038	0.9038	0.9058	0.422010	0.364409	0.388098	0.344050	0.345482	0.420525
110000	1.7368	0.2886	0.2921	0.2726	0.2962	0.2924	0.2948	0.9127	0.9049	0.9160	0.9038	0.9039	0.9057	0.422253	0.364573	0.388008	0.344313	0.345416	0.420852
111000	1.7369	0.2884	0.2924	0.2724	0.2965	0.2925	0.2948	0.9129	0.9048	0.9160	0.9037	0.9038	0.9057	0.422926	0.365062	0.388896	0.345261	0.346315	0.421267
112000	1.7378	0.2884	0.2926	0.2726	0.2967	0.2924	0.2950	0.9129	0.9047	0.9159	0.9036	0.9038	0.9057	0.423306	0.365224	0.388453	0.345580	0.346372	0.421479
