33000	1.3582	0.6727	0.6855	0.7824	0.7778	0.278401	0.277709
34000	1.3615	0.6744	0.6871	0.7818	0.7774	0.278336	0.277596
35000	1.3641	0.6753	0.6888	0.7819	0.7770	0.278245	0.277449
36000	1.3689	0.6775	0.6913	0.7810	0.7761	0.278155	0.277323
37000	1.3729	0.6797	0.6931	0.7801	0.7756	0.278118	0.277239
38000	1.3774	0.6820	0.6954	0.7792	0.7745	0.278140	0.277210
39000	1.3800	0.6827	0.6973	0.7795	0.7737	0.278077	0.277100
40000	1.3814	0.6843	0.6971	0.7792	0.7735	0.278072	0.277067
41000	1.3840	0.6853	0.6987	0.7787	0.7728	0.278511	0.277596
42000	1.3859	0.6858	0.7001	0.7783	0.7720	0.278561	0.277741
43000	1.3892	0.6872	0.7020	0.7776	0.7712	0.278705	0.277980
44000	1.3912	0.6892	0.7020	0.7766	0.7714	0.278861	0.278199
45000	1.3929	0.6909	0.7020	0.7760	0.7714	0.278890	0.278306
46000	1.3952	0.6923	0.7028	0.7755	0.7711	0.278910	0.278404
47000	1.3961	0.6933	0.7029	0.7752	0.7709	0.278830	0.278392
48000	1.3978	0.6944	0.7034	0.7749	0.7706	0.278741	0.278378
49000	1.3991	0.6952	0.7039	0.7748	0.7711	0.278752	0.278453
50000	1.4004	0.6954	0.7050	0.7756	0.7708	0.278795	0.278554
51000	1.4022	0.6963	0.7059	0.7752	0.7705	0.279170	0.278964
52000	1.4031	0.6966	0.7065	0.7749	0.7702	0.279265	0.279050
53000	1.4044	0.6971	0.7073	0.7745	0.7699	0.279310	0.279078
54000	1.4062	0.6983	0.7079	0.7739	0.7696	0.279331	0.279102
55000	1.4075	0.6988	0.7087	0.7736	0.7691	0.279454	0.279216
56000	1.4087	0.6989	0.7098	0.7736	0.7687	0.279534	0.279275
57000	1.4106	0.6995	0.7111	0.7733	0.7682	0.279588	0.279339
58000	1.4118	0.7001	0.7117	0.7730	0.7679	0.279624	0.279368
59000	1.4136	0.7009	0.7127	0.7726	0.7677	0.279709	0.279428
60000	1.4147	0.7012	0.7135	0.7724	0.7675	0.279705	0.279406
61000	1.4164	0.7017	0.7148	0.7721	0.7669	0.279994	0.279874
62000	1.4175	0.7021	0.7154	0.7719	0.7667	0.280013	0.280021
63000	1.4187	0.7026	0.7161	0.7717	0.7664	0.280005	0.280128
64000	1.4185	0.7032	0.7153	0.7713	0.7675	0.279990	0.280247
65000	1.4196	0.7042	0.7153	0.7709	0.7676	0.280043	0.280465
66000	1.4215	0.7055	0.7160	0.7703	0.7675	0.280094	0.280657
67000	1.4230	0.7062	0.7168	0.7701	0.7672	0.280182	0.280862
68000	1.4234	0.7066	0.7168	0.7699	0.7671	0.280229	0.281033
69000	1.4241	0.7067	0.7174	0.7697	0.7669	0.280282	0.281189
70000	1.4250	0.7071	0.7179	0.7696	0.7667	0.280311	0.281316
71000	1.4259	0.7075	0.7184	0.7694	0.7664	0.280621	0.281621
72000	1.4273	0.7082	0.7191	0.7690	0.7662	0.280655	0.281657
73000	1.4280	0.7089	0.7191	0.7687	0.7661	0.280662	0.281648
74000	1.4292	0.7096	0.7196	0.7684	0.7659	0.280617	0.281597
75000	1.4299	0.7102	0.7197	0.7681	0.7659	0.280546	0.281516
76000	1.4314	0.7110	0.7204	0.7679	0.7655	0.280468	0.281432
77000	1.4326	0.7114	0.7212	0.7679	0.7652	0.280403	0.281359
78000	1.4339	0.7123	0.7216	0.7675	0.7650	0.280314	0.281243
79000	1.4357	0.7134	0.7223	0.7670	0.7648	0.280246	0.281152
80000	1.4365	0.7139	0.7225	0.7668	0.7646	0.280172	0.281074
81000	1.4377	0.7145	0.7232	0.7666	0.7643	0.280311	0.281312
82000	1.4388	0.7149	0.7240	0.7664	0.7641	0.280286	0.281288
83000	1.4393	0.7151	0.7242	0.7663	0.7640	0.280272	0.281279
84000	1.4399	0.7150	0.7249	0.7662	0.7637	0.280233	0.281270
85000	1.4403	0.7154	0.7249	0.7660	0.7636	0.280191	0.281275
86000	1.4405	0.7152	0.7252	0.7660	0.7633	0.280133	0.281283
87000	1.4408	0.7153	0.7255	0.7659	0.7632	0.280071	0.281310
