Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Avg_Reward_User_5	Avg_Reward_User_6	Avg_Reward_User_7	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_Ratio_User_5	Packet_Loss_Ratio_User_6	Packet_Loss_Ratio_User_7	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Avg_Loss_User_5	Avg_Loss_User_6	Avg_Loss_User_7	Count_Change
59000	1.5253	0.1600	0.1510	0.1472	0.2490	0.1837	0.2231	0.1183	0.2931	0.9472	0.9574	0.9587	0.9178	0.9413	0.9271	0.9606	0.9018	0.421291	0.413012	0.410975	0.415103	0.418611	0.399431	0.306072	0.375587	297
60000	1.5305	0.1611	0.1511	0.1468	0.2483	0.1832	0.2221	0.1199	0.2981	0.9469	0.9571	0.9586	0.9181	0.9416	0.9274	0.9600	0.9001	0.421730	0.413839	0.411794	0.415806	0.419209	0.400410	0.305933	0.376935	284
61000	1.5341	0.1611	0.1511	0.1464	0.2472	0.1820	0.2208	0.1220	0.3034	0.9469	0.9570	0.9586	0.9185	0.9419	0.9279	0.9593	0.8985	0.422464	0.414776	0.412848	0.416699	0.420057	0.401524	0.308214	0.378417	383
62000	1.5389	0.1619	0.1515	0.1460	0.2464	0.1816	0.2199	0.1236	0.3079	0.9465	0.9567	0.9589	0.9186	0.9419	0.9281	0.9588	0.8969	0.422962	0.415529	0.413705	0.417395	0.420665	0.402421	0.307999	0.379702	306
63000	1.5441	0.1627	0.1523	0.1445	0.2459	0.1813	0.2191	0.1250	0.3134	0.9463	0.9563	0.9593	0.9189	0.9421	0.9284	0.9584	0.8946	0.423434	0.416252	0.414536	0.418082	0.421409	0.403320	0.307731	0.380937	319
64000	1.5488	0.1632	0.1532	0.1435	0.2451	0.1807	0.2182	0.1259	0.3191	0.9462	0.9559	0.9593	0.9191	0.9421	0.9286	0.9581	0.8933	0.423844	0.416911	0.415272	0.418689	0.422096	0.404146	0.307489	0.382087	252
65000	1.5532	0.1635	0.1541	0.1432	0.2444	0.1802	0.2173	0.1272	0.3233	0.9461	0.9556	0.9595	0.9193	0.9423	0.9292	0.9577	0.8919	0.424246	0.417582	0.416051	0.419307	0.422743	0.405685	0.307233	0.383227	297
66000	1.5552	0.1633	0.1541	0.1420	0.2433	0.1793	0.2150	0.1290	0.3293	0.9461	0.9556	0.9598	0.9197	0.9425	0.9300	0.9571	0.8896	0.424898	0.418448	0.416908	0.420027	0.423512	0.406799	0.309186	0.384446	462
67000	1.5592	0.1636	0.1544	0.1417	0.2427	0.1790	0.2132	0.1300	0.3347	0.9460	0.9553	0.9595	0.9200	0.9425	0.9305	0.9568	0.8880	0.425217	0.419016	0.417499	0.420470	0.423968	0.407574	0.308860	0.385379	295
68000	1.5634	0.1638	0.1549	0.1418	0.2417	0.1791	0.2118	0.1308	0.3395	0.9460	0.9551	0.9594	0.9203	0.9425	0.9308	0.9565	0.8864	0.425484	0.419515	0.418024	0.420869	0.424331	0.408037	0.308552	0.386246	296
69000	1.5674	0.1641	0.1552	0.1424	0.2408	0.1790	0.2108	0.1312	0.3441	0.9457	0.9549	0.9591	0.9206	0.9425	0.9311	0.9564	0.8852	0.425738	0.419997	0.418507	0.421213	0.424681	0.408664	0.308236	0.387053	242
70000	1.5712	0.1646	0.1558	0.1430	0.2398	0.1794	0.2098	0.1316	0.3472	0.9457	0.9546	0.9589	0.9208	0.9423	0.9315	0.9563	0.8839	0.425963	0.420436	0.418982	0.421564	0.425022	0.409221	0.307916	0.387849	283
71000	1.5737	0.1643	0.1557	0.1426	0.2389	0.1787	0.2082	0.1322	0.3531	0.9458	0.9545	0.9589	0.9211	0.9425	0.9321	0.9560	0.8821	0.426515	0.421009	0.419720	0.422192	0.425582	0.410023	0.309626	0.388894	434
72000	1.5774	0.1644	0.1563	0.1425	0.2387	0.1792	0.2067	0.1330	0.3566	0.9457	0.9543	0.9587	0.9212	0.9423	0.9326	0.9558	0.8809	0.426783	0.421358	0.420254	0.422646	0.425893	0.410577	0.309333	0.389694	285
73000	1.5812	0.1646	0.1568	0.1432	0.2381	0.1799	0.2052	0.1338	0.3596	0.9456	0.9540	0.9584	0.9215	0.9421	0.9330	0.9556	0.8798	0.426978	0.421652	0.420741	0.423032	0.426133	0.411016	0.309007	0.390416	274
74000	1.5845	0.1648	0.1574	0.1434	0.2370	0.1801	0.2039	0.1347	0.3633	0.9456	0.9537	0.9584	0.9219	0.9420	0.9334	0.9551	0.8786	0.427062	0.421867	0.421125	0.423329	0.426299	0.411385	0.308644	0.391047	313
